OBJECTID,ID,CODIGO_DANE,NOMBRE,PUEBLO,DEPARTAMENTO,MUNICIPIO,Municipio_Nombre,En_Area_Estudio,ULTIMO_TIPO_ACTO_ADMIN,ULTIMO_NUMERO_ACTO_ADMIN,ULTIMA_FECHA_ACTO_ADMIN,AREA_TOTAL_ACTOS_ADMIN,ULTIMO_NUMERO_PLANO,GlobalID
525,10867,SIN ASIGNAR,Resguardo Indígena Kwe´Sx Uma Kiwe (Nuestra Madre Tierra) del pueblo Nasa,NASA,19,19110,Buenos Aires,0,ACUERDO,436,2024-12-10,273.243,ACCTI02319110908,{9ACC2817-21FB-493C-B69E-FA7DD1C1EDE5}
534,10215,1821,"Resguardo Indígena Nasa, Pueblo Nuevo Ceral",NASA,19,19110,Buenos Aires,0,RESOLUCION,378,2015-09-21,441.311,017411AE19780,{96FE1A38-6446-48B4-B133-1E5A4D9923C5}
376,10194,1118,Resguardo Indígena Paez de La Paila - Naya,PAEZ,19,19110,Buenos Aires,0,RESOLUCION,116,1993-09-21,501.3,P-481.711 / P-481.710 / B - 343.007,{3D99782C-37E7-4585-BC67-A15BA6F5F0DA}
37,10195,1119,Resguardo Indígena Paez de Las Delicias,PAEZ,19,19110,Buenos Aires,0,RESOLUCION,165,2021-06-02,16.763.889,ACCTI 19698629,{EFCA0DF8-7F38-41A3-9102-60B13FDBD11C}
176,10169,1746,Resguardo Indígena Nasa Paez de Cxayu'Ce Fxiw,PAEZ,19,19130,Cajibío,0,ACUERDO,98,2007-02-15,2.318.175,10-0-00110 de Octubre de 2005,{2C1370D6-1445-42C3-B823-D528CA9D8AA0}
387,10208,1665,Resguardo Indígena Paez de Pathyú,PÁEZ,19,19130,Cajibío,0,RESOLUCION,310,2023-11-30,2.884.649,ACCTI 024119130223,{3489CF47-6FA3-4CFC-B3C6-2835B190DE97}
771,11785,SIN ASIGNAR,Resguardo Indígena de Kalim´piu - El Carmelo,MISAK,19,19130,Cajibío,0,ACUERDO,423,2024-11-27,34.016,ACCTI02319130812,{894B27DD-3482-4491-9280-F3B169E472C0}
295,10200,1125,Resguardo Indígena Paez de Corinto,PAEZ,19,19142,Caloto,1,ACUERDO,104,2007-03-29,27.539.413,10-0-00103 de Febrero de 2007,{90E802B8-DFD0-4465-A980-9796D7EAACC3}
181,10176,1521,Resguardo Indígena Páez de Huellas,PÁEZ,19,19142,Caloto,1,ACUERDO,490,2025-07-10,64.199.819,ACCTI024191422983,{0F2A703A-09CF-40B5-BD8A-47893B08BF39}
549,10179,1136,Resguardo Indígena Chimborazo,NASA,19,13473,Código fuera de Cauca / no estándar,0,ACUERDO,316,2013-11-12,2136,000177PS19473 de noviembre de 2012,{D833A95C-76CF-45A0-97B1-081A850294A2}
301,10166,1733,Resguardo Indígena GUAMBIANA LA BONANZA,GUAMBIANO,19,13473,Código fuera de Cauca / no estándar,0,ACUERDO,72,2006-08-17,1.317.988,10-0-00024,{6BD085DC-9B9B-4C20-A1E2-836BA2F5D189}
720,10162,1135,Resguardo Indígena Paez de Agua Negra,PAEZ,19,13473,Código fuera de Cauca / no estándar,0,RESOLUCION,94,1982-07-27,2000,no registra,{4CFB7A98-BCFB-41F9-80E1-EE4851495FE1}
651,10231,1183,Resguardo Indígena de Totoro,PAEZ TOTORO,19,20621,Código fuera de Cauca / no estándar,0,RESOLUCION,4,1991-01-28,34.064.526,P-466.093,{E094C871-F6A9-41BA-916E-DDC3846D945F}
804,10175,1798,Resguardo Indígena Guarapamba,KOKONUKO,19,19256,El Tambo,0,ACUERDO,334,2014-02-20,480.219,19-0256-06775,{13E376BA-6958-4114-A4D1-DDBEF120B875}
695,10174,1167,Resguardo Indígena de Guambia,GUAMBIANO,19,19256,El Tambo,0,RESOLUCION,7,2002-09-17,191.578.487,G-638.898,{2FA8268A-9428-4C6D-BE28-5BB143F7D8DC}
504,10203,1817,Resguardo Indígena Eperara Siapidara de Nueva Bellavista y Partidero,EPERARA SIAPIDARA,19,19318,Guapi,0,RESOLUCION,374,2015-09-21,42.5,19-0318-05363,{D82BDE57-C841-4D04-AE1A-16B37D204354}
443,10167,1616,Resguardo Indígena Paez de Calderas,PAEZ,19,19355,Inzá,0,RESOLUCION,4,2001-02-20,12.115.206,G-555.594 de marzo de 1999,{96041F61-DDC1-42CE-889E-0A62A3C8C2BA}
444,10189,1539,Resguardo Indígena Paez de La Gaitana,PAEZ,19,19355,Inzá,0,RESOLUCION,557,2025-12-10,2.806.054,ACCTI024193555461,{58FB3B63-1493-488F-8570-92A506EB5132}
436,10222,1129,Resguardo Indígena Tumbichucue,PAEZ,19,19355,Inzá,0,ACUERDO,393,2024-09-26,44.537.696,ACCTI 02419110596,{62F55F87-D533-40B0-B583-7501D8E93DCD}
332,10180,1131,Resguardo Indígena Páez de Jambaló,PAEZ,19,19364,Jambaló,0,RESOLUCION,10,2001-02-20,220.278.409,P-638.245,{81711D75-4CBC-4863-9CE0-C31F4149DDE1}
775,10171,1787,Resguardo Indígena El Oso,YANACONA,19,19392,La Sierra,0,RESOLUCION,294,2012-11-29,254.186,19-0392-06149,{D773329D-F78C-48F2-A791-F5C78C1B368C}
543,10170,1819,Resguardo Indígena Yanacona El Moral,YANACONA,19,19392,La Sierra,0,RESOLUCION,376,2015-09-21,418.451,017397AE19392,{4A2F11E8-F2F8-4080-83EE-F1C6B9805D22}
544,10853,SIN ASIGNAR,Resguardo Indígena Santa Barbara,YANACONA,19,19397,La Vega,0,ACUERDO,334,2023-12-18,129.747,ACCTI 0231193972261,{C9D1D469-C255-4293-A088-6422B9D14E86}
368,11480,SIN ASIGNAR,Resguardo Indígena Yanacona El Paraiso,YANACONA,19,19397,La Vega,0,RESOLUCION,289,2023-08-01,53.161,ACCTI 193971746,{0C75D2EA-340A-4A22-8DC9-34017411D004}
460,10173,1132,Resguardo Indígena Yanacona de Guachicono,YANACONA,19,19397,La Vega,0,ACUERDO,177,2009-09-03,1471.7,10-0-00140,{94DAF40B-15A2-4A21-9664-684EB821ECD2}
486,10190,1134,Resguardo Indígena Embera La Iguana,EMBERA KATIO,19,19418,López de Micay,0,RESOLUCION,137,1980-12-03,10972,G-198.469,{DC88836A-2B4D-402B-8CD5-E1A25A42BEB9}
783,10211,1750,Resguardo Indígena Eperara Siapadara de Playita San Francisco,EPERARA SIAPIDARA,19,19418,López de Micay,0,ACUERDO,178,2009-09-03,31.492.604,10-0-00046,{92601C45-AA15-44BE-83C7-00A0A9A340D3}
700,10186,1696,Resguardo Indígena Paez de La Cilia o La Calera,PAEZ,19,19455,Miranda,1,RESOLUCION,4,2003-07-22,43.657,P-555391,{0F5722EA-EA3D-4B6C-83FC-C56A059BA198}
470,10161,1786,Resguardo Indígena Misak de San Antonio,MISAK,19,19473,Morales,0,ACUERDO,290,2012-08-28,1.388.115,19-0473-05628 / 19-0548-05628,{52152119-CCE0-40B0-92DA-A44EE803DE10}
746,10198,1738,Resguardo Indígena Nasa Paez De Musse Ukwe,NASA PAEZ,19,19473,Morales,0,ACUERDO,91,2006-01-20,3.555.615,10-0-0109,{FCF1420B-0250-45BF-9D09-2A9C0BCDD2AA}
715,10864,1873,Resguardo Indígena Nuevo Horizonte,KIZGO,19,19473,Morales,0,ACUERDO,135,2020-10-26,620.793,ACCTI 19473528,{5A907E55-2436-479A-9297-2E7EF01AC4FC}
68,11534,SIN ASIGNAR,Resguardo Indígena Caucapa Pungu Floresta,INGA,19,19533,Piamonte,0,ACUERDO,458,2025-02-26,22.293.376,ACCTI02319533952,{A4DCEE14-E9BB-422E-B5B6-9DA869DB362B}
670,11579,SIN ASIGNAR,Resguardo Indígena Ebera Chami Eabidara,EMBERA CHAMI,19,19533,Piamonte,0,ACUERDO,464,2025-03-28,23.601.083,ACCTI 023195331038,{D639331B-B1B0-4DCD-BB53-DA71B13A5B4D}
687,10224,1150,Resguardo Indígena Guayuyaco,INGA,19,19533,Piamonte,0,DECRETO,12,1956-10-18,1260,SIN INFORMACION,{E8C1E325-1674-40D2-8BCD-AFC8C622A140}
795,10854,SIN ASIGNAR,Resguardo Indígena Inchi Iaku,INGA,19,19533,Piamonte,0,ACUERDO,335,2023-12-18,9.885.996,ACCTI 195331687,{FCB2D003-86D2-437A-BECF-7C394278704E}
159,11546,SIN ASIGNAR,Resguardo Indígena Inga Bajo Chuspizacha del pueblo Inga,INGA,19,19533,Piamonte,0,ACUERDO,465,2025-03-28,23.802.445,ACCTI023195331037,{ED845A7A-218E-4140-9B8D-3C5BB2BA1BC7}
345,10228,1697,Resguardo Indígena Inga De Wasipanga,INGA,19,19533,Piamonte,0,RESOLUCION,518,2025-09-10,28.884.967,ACCTI024195334261,{449CF40F-7A61-4841-A230-B962E46A5F0A}
85,10188,1667,Resguardo Indígena Inga de La Floresta - La Española,INGA,19,19533,Piamonte,0,RESOLUCION,9,2003-04-10,1.264.948,R-647.047,{4CDEA043-DC25-4426-AD3F-233FBC1DC15A}
148,11578,SIN ASIGNAR,Resguardo Indígena Nasa Yu Lucx - Hijos del Agua,NASA,19,19533,Piamonte,0,ACUERDO,463,2025-03-28,25.141.898,ACCTI023195331039,{B4CC0EAE-E8F6-4B3A-8E62-251D47A5D192}
530,10856,1909,Resguardo Indígena Rumiñawi,INGA,19,19533,Piamonte,0,ACUERDO,233,2022-06-30,12.222.907,ACCTI 195331312,{487338CC-FD7B-4447-83F5-F0C05B35869A}
374,10855,SIN ASIGNAR,Resguardo Indígena San Gabriel,INGA,19,19533,Piamonte,0,RESOLUCION,267,2023-03-23,15.595.481,ACCTI 195331311,{0A4D1519-57C5-406F-8613-EF87A67E0506}
629,11611,SIN ASIGNAR,Resguardo Indígena Sindawa del pueblo Awá,AWÁ,19,19533,Piamonte,0,ACUERDO,440,2024-12-19,5.325.274,ACCTI02319533932,{C6955E08-0F67-4233-AC7C-13C231A62EC8}
672,10192,1151,Resguardo Indígena inga de La Leona,INGA,19,19533,Piamonte,0,RESOLUCION,517,2025-09-10,24.266.695,ACCTI024195334262,{2AA0DEE3-8F1E-4D67-8B83-389107A966E4}
559,10193,1154,Resguardo Indígena Guambiano de La Maria,GUAMBIANO,19,19548,Piendamó,0,RESOLUCION,28,1997-10-03,141.025,P-481.285,{9A7407AE-16A3-43EC-839B-71E45C45453D}
415,10197,1788,Resguardo Indígena Misak Piscitau,MISAK,19,19548,Piendamó,0,RESOLUCION,296,2012-11-29,595.772,10-0-00935,{C2DF8525-80B8-4BF8-AB0B-5CCC000FDC48}
